"selection1_url","selection1_name","selection1_discount","selection1_price","selection1_brand","selection1_brand_url"
"https://www.jumia.com.eg/g3-15-3500-gaming-laptop-intel-core-i5-8gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-ubuntu-black-dell-mpg759490.html","DELL G3 15-3500 Gaming Laptop - Intel Core I5 - 8GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - Ubuntu - Black","18%","EGP 15,495","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/nitro-5-laptop-intel-core-i5-10th-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-english-keyboard-acer-mpg771777.html","Acer Nitro 5 Laptop - Intel Core I5 10TH - 8GB RAM - 256GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black (English Keyboard)","19%","EGP 14,499","Acer","https://www.jumia.com.eg/acer/"
"https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-windows-10-phantom-black-english-keyboard-lenovo-mpg757584.html","Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - Windows 10 - Phantom Black (English Keyboard)","20%","EGP 19,880","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-4gb-gpu-15.6-inch-fhd-black-21173886.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 4GB GPU - 15.6-inch FHD - Black","16%","EGP 16,898","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/legion-5-15imh05-gaming-laptop-intel-core-i7-10750h-8gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gtx-1650-ti-gpu-windows-10-phantom-black-english-keyboard-lenovo-mpg762977.html","Lenovo Legion 5-15IMH05 Gaming Laptop - Intel Core I7-10750H - 8GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GTX 1650 Ti GPU - Windows 10 - Phantom Black (English Keyboard)","11%","EGP 16,849","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/nitro-5-gaming-laptop-intel-core-i7-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-dos-obsidian-black-acer-mpg758358.html","Acer Nitro 5 Gaming Laptop - Intel Core I7 - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - DOS - Obsidian Black","18%","EGP 16,499","Acer","https://www.jumia.com.eg/acer/"
"https://www.jumia.com.eg/gf65-thin-9sexr-gaming-laptop-intel-core-i7-8gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-msi-mpg769018.html","MSI GF65 Thin 9SEXR Gaming Laptop - Intel Core I7 - 8GB RAM - 512GB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black","24%","EGP 18,999","MSI","https://www.jumia.com.eg/msi/"
"https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-1tb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-21163034.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black","9%","EGP 23,749","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/hp-15-dk0056wm-pavilion-gaming-laptop-intel-core-i5-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-shadow-black-english-keyboard-21200137.html","HP 15-dk0056wm Pavilion Gaming Laptop - Intel Core I5 - 8GB RAM - 256GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Shadow Black (English Keyboard)","13%","EGP 13,999","HP","https://www.jumia.com.eg/hp/"
"https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-windows-10-phantom-black-lenovo-mpg773582.html","Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - Windows 10 - Phantom Black","5%","EGP 21,000","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/legion-5-15imh05-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-phantom-black-english-keyboard-lenovo-mpg763783.html","Lenovo Legion 5-15IMH05 Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Phantom Black (English Keyboard)","6%","EGP 17,929","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/gf65-thin-9sexr-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-msi-mpg761248.html","MSI GF65 Thin 9SEXR Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black","20%","EGP 19,999","MSI","https://www.jumia.com.eg/msi/"
"https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-6gb-gpu-15.6-inch-fhd-windows-10-black-dell-mpg751079.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black","13%","EGP 19,939","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/hp-15-dk0056wm-pavilion-gaming-laptop-intel-core-i5-8gb-ram-1tb-hdd-256gb-ssd-15.6-inch-fhd-4gb-gpu-windowds-10-shadow-black-21200135.html","HP 15-dk0056wm Pavilion Gaming Laptop - Intel Core I5 - 8GB RAM - 1TB HDD + 256GB SSD - 15.6-inch FHD - 4GB GPU - Windowds 10 - Shadow Black","7%","EGP 14,899","HP","https://www.jumia.com.eg/hp/"
"https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-dell-mpg752421.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black","32%","EGP 16,879","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/gl65-leopard-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-english-keyboard-msi-mpg772159.html","MSI GL65 Leopard Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - English Keyboard","30%","EGP 27,999","MSI","https://www.jumia.com.eg/msi/"
"https://www.jumia.com.eg/lenovo-legion-5-17imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-256gb-ssd-17.3-inch-fhd-6gb-gtx-1660-ti-gpu-windows-10-phantom-black-english-keyboard-21284474.html","Lenovo Legion 5-17IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 256GB SSD - 17.3-inch FHD - 6GB GTX 1660 Ti GPU - Windows 10 - Phantom Black (English Keyboard)","13%","EGP 20,000","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/lenovo-legion-5-15arh05h-gaming-laptop-amd-ryzen-7-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-1660-ti-gpu-windows-phantom-black-english-keyboard-21158867.html","Lenovo Legion 5 15ARH05H Gaming Laptop - AMD Ryzen 7 - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB 1660 Ti GPU - Windows - Phantom Black (English Keyboard)","14%","EGP 21,499","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/lenovo-ideapad-15imh05-3-gaming-laptop-intel-core-i5-8gb-ram-1tb-hdd-128gb-ssd-15.6-inch-fhd-4gb-gpu-dos-onyx-black-21219409.html","Lenovo Ideapad 15IMH05 3 Gaming Laptop - Intel Core I5 - 8GB RAM - 1TB HDD + 128GB SSD - 15.6-inch FHD - 4GB GPU - DOS - Onyx Black","13%","EGP 13,999","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/lenovo-ideapad-l340-15irh-gaming-laptop-intel-core-i7-16gb-ram-1tb-ssd-15.6-inch-fhd-4gb-gpu-dos-black-18436007.html","Lenovo IdeaPad L340-15IRH Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB SSD - 15.6-inch FHD - 4GB GPU - DOS - Black","","EGP 16,999","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/ideapad-gaming-3-15arh05-laptop-amd-ryzen-5-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-dos-chameleon-blue-lenovo-mpg770883.html","Lenovo IdeaPad Gaming 3 15ARH05 Laptop - AMD Ryzen 5 - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - DOS - Chameleon Blue","10%","EGP 15,995","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gtx-1660-ti-gpu-windows-10-black-dell-mpg769832.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD – 6GB GTX 1660 Ti GPU - Windows 10 - Black","11%","EGP 20,499","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/lenovo-ideapad-gaming-3-15imh05-laptop-intel-core-i7-16gb-ram-512gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-windows-10-onyx-black-english-keyboard-21219405.html","Lenovo IdeaPad Gaming 3 15IMH05 Laptop - Intel Core I7 - 16GB RAM - 512GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - Windows 10 - Onyx Black (English Keyboard)","13%","EGP 17,499","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/msi-gf63-thin-gaming-laptop-intel-core-i5-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-english-keyboard-21166395.html","MSI GF63 Thin Gaming Laptop - Intel Core I5 - 8GB RAM - 256GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black (English Keyboard)","18%","EGP 13,999","MSI","https://www.jumia.com.eg/msi/"
"https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-dos-phantom-black-lenovo-mpg767932.html","Lenovo Legion 5 15IMH05H Gaming Laptop - Intel Core I7 - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - DOS - Phantom Black","8%","EGP 19,399","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/g3-15-3500-gaming-laptop-intel-core-i5-10300h-8gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gtx-1650ti-gpu-windows-10-black-english-keyboard-dell-mpg767979.html","DELL G3 15-3500 Gaming Laptop - Intel Core I5-10300H - 8GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GTX 1650Ti GPU - Windows 10 - Black (English Keyboard)","5%","EGP 15,789","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/ideapad-gaming-3-laptop-intel-core-i7-10750h-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-geforcer-gtx-1650-4gb-4gb-gpu-dos-black-lenovo-mpg773000.html","Lenovo IdeaPad Gaming 3 Laptop - Intel Core I7-10750H - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD-GeForce® GTX 1650 4GB - 4GB GPU - DOS - Black","12%","EGP 16,799","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/hp-pavilion-gaming-15-dk0056wm-1tb256-ssd-core-i5-8gb-ram-15.6-inch-fhd-4gb-gpu-shadow-black-21080705.html","HP Pavilion Gaming - 15-dk0056wm 1TB+256 SSD Core I5-8GB RAM 15.6-inch FHD-4GB GPU -Shadow Black","9%","EGP 15,188","HP","https://www.jumia.com.eg/hp/"
"https://www.jumia.com.eg/asus-rog-strix-g512li-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-21173930.html","Asus Rog Strix G512li Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black","10%","EGP 17,999","Asus","https://www.jumia.com.eg/asus/"
"https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-dell-mpg769827.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 8GB RAM - 256GB SSD - 15.6-inch FHD – 4GB GPU - Windows 10 - Black","6%","EGP 16,999","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/ideapad-gaming-3-15imh05-laptop-intel-core-i5-8gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gtx-1650-ti-gpu-windows-10-onyx-black-english-keyboard-lenovo-mpg763327.html","Lenovo IdeaPad Gaming 3 15IMH05 Laptop - Intel Core I5 - 8GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GTX 1650 Ti GPU - Windows 10 - Onyx Black (English Keyboard)","3%","EGP 15,050","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/hp-omen-15-gaming-laptop-intel-core-i7-16gb-ram-256gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-shadow-black-21200133.html","HP OMEN 15 Gaming Laptop - Intel Core I7 - 16GB RAM - 256GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - Shadow Black","28%","EGP 28,999","HP","https://www.jumia.com.eg/hp/"
"https://www.jumia.com.eg/msi-gf65-thin-gaming-laptop-intel-core-i7-8gb-ram-512gb-ssd-15.6-inch-fhd-6gb-1660ti-gpu-windows-10-english-keyboard-21164900.html","MSI GF65 Thin Gaming Laptop - Intel Core I7 - 8GB RAM - 512GB SSD - 15.6-inch FHD - 6GB 1660TI GPU - Windows 10 - English Keyboard","18%","EGP 17,999","MSI","https://www.jumia.com.eg/msi/"
"https://www.jumia.com.eg/ideapad-3-gaming-laptop-intel-core-i7-8gb-ram-512-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-lenovo-mpg773001.html","Lenovo Ideapad 3 Gaming Laptop - Intel Core I7 - 8GB RAM - 512 SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black","6%","EGP 15,999","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/lenovo-ideapad-15imh05-3-gaming-laptop-intel-core-i5-8gb-ram-1tb-hdd-128gb-ssd-15.6-inch-fhd-4gb-gpu-dos-onyx-black-21219408.html","Lenovo Ideapad 15IMH05 3 Gaming Laptop - Intel Core I5 - 8GB RAM - 1TB HDD + 128GB SSD - 15.6-inch FHD - 4GB GPU - DOS - Onyx Black","18%","EGP 13,999","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/ideapad-gaming-3-laptop-15imh05-intel-core-i7-16gb-ram-1tb-hdd-256gb-ssd-4g-gpu-15.6-inch-fhd-windows-10-onyx-black-lenovo-mpg773003.html","Lenovo Ideapad Gaming 3 Laptop 15IMH05 - Intel Core I7 - 16GB RAM - 1TB HDD + 256GB SSD - 4G GPU - 15.6-inch FHD - Windows 10 - Onyx Black","8%","EGP 17,499","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-120hz-gtx-1660ti-6gb-gddr6-ubuntu-black-dell-mpg769830.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD 120Hz - GTX 1660Ti 6GB GDDR6 -Ubuntu - Black","11%","EGP 20,499","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i5-10300h-8gb-ram-1tb-256gb-ssd-15.6-inch-fhd-4gb-gtx-1650-gpu-black-21176258.html","DELL G5 15-5500 Gaming Laptop - Intel Core I5-10300H - 8GB RAM -1TB+ 256GB SSD - 15.6-inch FHD – 4GB GTX 1650 GPU - Black","18%","EGP 15,499","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/asus-tuf-fx506li-hn138t-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-512gb-ssd-15.6-fhd-144hz-display-4gb-gpu-windows-10-grey-metal-21218277.html","Asus TUF FX506LI-HN138T Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 512GB SSD - 15.6 FHD 144Hz Display - 4GB GPU - Windows 10 - Grey Metal","14%","EGP 20,666","Asus","https://www.jumia.com.eg/asus/"
"https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-4gb-gpu-15.6-inch-fhd-dos-black-21213364.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 4GB GPU - 15.6-inch FHD-dos - Black","50%","EGP 16,850","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/lenovo-legion-5-15imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-windows-10-phantom-black-english-arabic-keyboard-21284543.html","Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - Windows 10-- Phantom Black (English & ARABIC Keyboard)","17%","EGP 19,850","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/dell-alienware-m15-r3-gaming-laptop-intel-core-i7-10750h-16gb-ddr4-ram-512gb-ssd-nvidia-geforce-rtx-2060-6gb-15.6-inch-fhd-display-windows-10-dark-side-of-the-moon-21103615.html","DELL Alienware M15 R3 Gaming Laptop - Intel Core I7-10750H - 16GB DDR4 RAM - 512GB SSD - NVIDIA GeForce RTX 2060 6GB - 15.6 Inch FHD Display - Windows 10 - Dark Side Of The Moon","5%","EGP 40,399","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-rtx-2060-gpu-windows-10-black-english-keyboard-dell-mpg769829.html","DELL G5 15-5500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD - 6GB RTX 2060 GPU - Windows 10 - Black (English Keyboard)","5%","EGP 24,799","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/legion-y540-15irh-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-256gb-ssd-15.6-inch-fhd-6gb-gpu-dos-black-lenovo-mpg188463.html","Lenovo Legion Y540-15IRH Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 256GB SSD - 15.6-inch FHD - 6GB GPU - DOS - Black","4%","EGP 25,999","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-256gb-ssd-6gb-gpu-15.6-inch-fhd-dos-phantom-black-lenovo-mpg749566.html","Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 256GB SSD - 6GB GPU - 15.6-inch FHD - DOS - Phantom Black","","EGP 22,000","Lenovo","https://www.jumia.com.eg/lenovo/"
"https://www.jumia.com.eg/rog-zephyrus-m15-gu502lw-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-black-asus-mpg771772.html","Asus ROG ZEPHYRUS M15 GU502LW Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - Black (English Keyboard)","25%","EGP 29,999","Asus","https://www.jumia.com.eg/asus/"
"https://www.jumia.com.eg/g3-15-3500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-dell-mpg771822.html","DELL G3 15-3500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black","20%","EGP 23,999","DELL","https://www.jumia.com.eg/dell/"
"https://www.jumia.com.eg/omen-15-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-black-hp-mpg772151.html","HP OMEN 15 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - Black","17%","EGP 29,999","HP","https://www.jumia.com.eg/hp/"